# typeshed third-party stub distribution map — GENERATED, do not edit by hand.
# Source: python/typeshed `stubs/<DIST>/` directories (main branch).
# Each line maps a Python *import root* to the PyPI *distribution* that
# publishes its stubs (always `types-<DIST>`). Used by the BSK-E0152 quick fix
# to offer a real `uv add --dev <dist>` and to suppress the fix when no
# stub distribution exists. Regenerate from typeshed's git tree.
# Format: <import_root>\t<distribution>
Jetson	types-Jetson.GPIO
MySQLdb	types-mysqlclient
PyInstaller	types-pyinstaller
RPi	types-RPi.GPIO
Xlib	types-python-xlib
_cffi_backend	types-cffi
_jsonnet	types-jsonnet
_win32typing	types-pywin32
aiofiles	types-aiofiles
antlr4	types-antlr4-python3-runtime
assertpy	types-assertpy
atheris	types-atheris
auth0	types-auth0-python
authlib	types-Authlib
aws_xray_sdk	types-aws-xray-sdk
behave	types-behave
binaryornot	types-binaryornot
bleach	types-bleach
boltons	types-boltons
braintree	types-braintree
bugbear	types-flake8-bugbear
cachetools	types-cachetools
capturer	types-capturer
cffi	types-cffi
channels	types-channels
chevron	types-chevron
click_default_group	types-click-default-group
click_log	types-click-log
click_shell	types-click-shell
click_spinner	types-click-spinner
click_web	types-click-web
colorama	types-colorama
colorful	types-colorful
commctrl	types-pywin32
consolemenu	types-console-menu
convertdate	types-convertdate
croniter	types-croniter
cronlog	types-python-crontab
crontab	types-python-crontab
crontabs	types-python-crontab
datauri	types-datauri
dateparser	types-dateparser
dateparser_data	types-dateparser
dateutil	types-python-dateutil
dde	types-pywin32
decorator	types-decorator
defusedxml	types-defusedxml
deprecated	types-Deprecated
dirhash	types-dirhash
distutils	types-setuptools
django_filters	types-django-filter
docker	types-docker
dockerfile_parse	types-dockerfile-parse
docutils	types-docutils
editdistance	types-editdistance
entrypoints	types-entrypoints
ephem	types-ephem
et_xmlfile	types-et_xmlfile
fanstatic	types-fanstatic
farmhash	types-pyfarmhash
first	types-first
flake8	types-flake8
flake8_builtins	types-flake8-builtins
flake8_docstrings	types-flake8-docstrings
flake8_rst_docstrings	types-flake8-rst-docstrings
flake8_simplify	types-flake8-simplify
flake8_typing_imports	types-flake8-typing-imports
flask_cors	types-Flask-Cors
flask_migrate	types-Flask-Migrate
flask_socketio	types-Flask-SocketIO
fpdf	types-fpdf2
gdb	types-gdb
geopandas	types-geopandas
gevent	types-gevent
greenlet	types-greenlet
grpc	types-grpcio
grpc_channelz	types-grpcio-channelz
grpc_health	types-grpcio-health-checking
grpc_reflection	types-grpcio-reflection
grpc_status	types-grpcio-status
gunicorn	types-gunicorn
hdbcli	types-hdbcli
hnswlib	types-hnswlib
html5lib	types-html5lib
httplib2	types-httplib2
hvac	types-hvac
ibm_db	types-ibm-db
ibm_db_ctx	types-ibm-db
icalendar	types-icalendar
import_export	types-django-import-export
inifile	types-inifile
isapi	types-pywin32
jack	types-JACK-Client
jenkins	types-python-jenkins
jks	types-pyjks
jmespath	types-jmespath
jose	types-python-jose
jsonschema	types-jsonschema
jwcrypto	types-jwcrypto
kafka	types-kafka-python
keyboard	types-keyboard
ldap3	types-ldap3
lunardate	types-lunardate
lupa	types-lupa
lzstring	types-lzstring
m3u8	types-m3u8
management	types-django-import-export
markdown	types-Markdown
mmapfile	types-pywin32
mmsystem	types-pywin32
mock	types-mock
mypy_extensions	types-mypy-extensions
nanoid	types-nanoid
nanoleafapi	types-nanoleafapi
netaddr	types-netaddr
netifaces	types-netifaces
networkx	types-networkx
nmap	types-python-nmap
ntsecuritycon	types-pywin32
oauthlib	types-oauthlib
objgraph	types-objgraph
odbc	types-pywin32
olefile	types-olefile
openpyxl	types-openpyxl
opentracing	types-opentracing
paramiko	types-paramiko
parsimonious	types-parsimonious
passpy	types-passpy
peewee	types-peewee
pep8ext_naming	types-pep8-naming
perfmon	types-pywin32
pexpect	types-pexpect
pika	types-pika
playhouse	types-peewee
polib	types-polib
pony	types-pony
portpicker	types-portpicker
psutil	types-psutil
psycopg2	types-psycopg2
punq	types-punq
pyasn1	types-pyasn1
pyaudio	types-pyaudio
pyautogui	types-PyAutoGUI
pycocotools	types-pycocotools
pycurl	types-pycurl
pyflakes	types-pyflakes
pygments	types-Pygments
pyi_splash	types-pyinstaller
pyluach	types-pyluach
pymeeus	types-PyMeeus
pymysql	types-PyMySQL
pynput	types-pynput
pyperclip	types-pyperclip
pyphen	types-pyphen
pyscreeze	types-PyScreeze
pysftp	types-pysftp
pytest_lazyfixture	types-pytest-lazy-fixture
python_http_client	types-python-http-client
pythoncom	types-pywin32
pythonwin	types-pywin32
pytz	types-pytz
pywintypes	types-pywin32
qrbill	types-qrbill
qrcode	types-qrcode
ratelimit	types-ratelimit
regex	types-regex
regutil	types-pywin32
reportlab	types-reportlab
requests	types-requests
requests_oauthlib	types-requests-oauthlib
resampy	types-resampy
retry	types-retry
rfc3339_validator	types-rfc3339-validator
s2clientprotocol	types-s2clientprotocol
seaborn	types-seaborn
send2trash	types-Send2Trash
serial	types-pyserial
servicemanager	types-pywin32
setuptools	types-setuptools
shapely	types-shapely
simple_websocket	types-simple-websocket
simplejson	types-simplejson
singledispatch	types-singledispatch
six	types-six
slumber	types-slumber
socks	types-PySocks
sockshandler	types-PySocks
sspicon	types-pywin32
str2bool	types-str2bool
tabulate	types-tabulate
tensorflow	types-tensorflow
